거래일자,지역,연료원, 발전량(MWh) 
2018-01-05,전라남도,석탄,31193
2018-01-05,전라북도,LNG,10080
2018-01-05,전라북도,석탄,19138
2018-01-05,전라북도,유류,402
2018-01-05,제주도,유류,7255
2018-01-05,충청남도,LNG,27683
2018-01-05,충청남도,석탄,348762
2018-01-05,충청남도,유류,0
2018-01-05,충청북도,유류,1153
2018-01-06,강원도,LNG,7890
2018-01-06,강원도,석탄,39438
2018-01-06,경기도,LNG,179478
2018-01-06,경기도,석탄,1269
2018-01-06,경기도,유류,722
2018-01-06,경상남도,석탄,159653
2018-01-06,경상남도,유류,280
2018-01-06,경상북도,LNG,4801
2018-01-06,경상북도,석탄,2615
2018-01-06,광주시,LNG,2041
2018-01-06,대구시,LNG,7413
2018-01-06,대구시,석탄,45
2018-01-06,대구시,유류,589
2018-01-06,대전시,LNG,423
2018-01-06,대전시,유류,612
2018-01-06,부산시,LNG,11637
2018-01-06,부산시,석탄,45
2018-01-06,서울시,LNG,930
2018-01-06,세종시,LNG,12135
2018-01-06,울산시,LNG,13565
2018-01-06,울산시,유류,12792
2018-01-06,인천시,LNG,60644
2018-01-06,인천시,석탄,112348
2018-01-06,전라남도,LNG,35216
2018-01-06,전라남도,석탄,30972
2018-01-06,전라북도,LNG,1742
2018-01-06,전라북도,석탄,18400
2018-01-06,전라북도,유류,402
2018-01-06,제주도,유류,6616
2018-01-06,충청남도,LNG,15494
2018-01-06,충청남도,석탄,339994
2018-01-06,충청남도,유류,0
2018-01-06,충청북도,유류,1159
2018-01-07,강원도,LNG,1172
2018-01-07,강원도,석탄,39402
2018-01-07,경기도,LNG,153805
2018-01-07,경기도,석탄,1120
2018-01-07,경기도,유류,722
2018-01-07,경상남도,석탄,158650
2018-01-07,경상남도,유류,273
2018-01-07,경상북도,LNG,2493
2018-01-07,경상북도,석탄,2567
2018-01-07,광주시,LNG,1348
2018-01-07,대구시,LNG,7837
2018-01-07,대구시,석탄,24
2018-01-07,대구시,유류,574
2018-01-07,대전시,LNG,494
2018-01-07,대전시,유류,698
2018-01-07,부산시,LNG,12615
2018-01-07,부산시,석탄,0
2018-01-07,서울시,LNG,945
2018-01-07,세종시,LNG,12138
2018-01-07,울산시,LNG,12440
2018-01-07,울산시,유류,12045
2018-01-07,인천시,LNG,53383
2018-01-07,인천시,석탄,111804
2018-01-07,전라남도,LNG,31121
2018-01-07,전라남도,석탄,30282
2018-01-07,전라북도,LNG,0
2018-01-07,전라북도,석탄,15909
2018-01-07,전라북도,유류,406
2018-01-07,제주도,유류,7992
2018-01-07,충청남도,LNG,14798
2018-01-07,충청남도,석탄,320156
2018-01-07,충청남도,유류,0
2018-01-07,충청북도,유류,1164
2018-01-08,강원도,LNG,16822
2018-01-08,강원도,석탄,39331
2018-01-08,경기도,LNG,236660
2018-01-08,경기도,석탄,1321
2018-01-08,경기도,유류,14522
2018-01-08,경상남도,석탄,160780
2018-01-08,경상남도,유류,306
2018-01-08,경상북도,LNG,8138
2018-01-08,경상북도,석탄,2601
2018-01-08,광주시,LNG,2355
2018-01-08,대구시,LNG,7523
2018-01-08,대구시,석탄,57
2018-01-08,대구시,유류,576
2018-01-08,대전시,LNG,774
2018-01-08,대전시,유류,684
2018-01-08,부산시,LNG,27590
2018-01-08,부산시,석탄,113
2018-01-08,서울시,LNG,930
2018-01-08,세종시,LNG,12213
2018-01-08,울산시,LNG,38868
2018-01-08,울산시,유류,18846
2018-01-08,인천시,LNG,69223
2018-01-08,인천시,석탄,112749
2018-01-08,전라남도,LNG,38848
2018-01-08,전라남도,석탄,30622
2018-01-08,전라북도,LNG,7703
2018-01-08,전라북도,석탄,15874
2018-01-08,전라북도,유류,394
2018-01-08,제주도,유류,6920
2018-01-08,충청남도,LNG,27941
2018-01-08,충청남도,석탄,337723
2018-01-08,충청남도,유류,0
2018-01-08,충청북도,유류,1152
2018-01-09,강원도,LNG,18448
2018-01-09,강원도,석탄,39343
2018-01-09,경기도,LNG,243070
2018-01-09,경기도,석탄,1411
2018-01-09,경기도,유류,16688
2018-01-09,경상남도,석탄,163767
2018-01-09,경상남도,유류,328
2018-01-09,경상북도,LNG,8737
2018-01-09,경상북도,석탄,2616
2018-01-09,광주시,LNG,2725
2018-01-09,대구시,LNG,7301
2018-01-09,대구시,석탄,43
2018-01-09,대구시,유류,573
2018-01-09,대전시,LNG,231
2018-01-09,대전시,유류,746
2018-01-09,부산시,LNG,32244
2018-01-09,부산시,석탄,171
2018-01-09,서울시,LNG,927
2018-01-09,세종시,LNG,12112
2018-01-09,울산시,LNG,38535
2018-01-09,울산시,유류,23990
2018-01-09,인천시,LNG,74440
2018-01-09,인천시,석탄,113359
2018-01-09,전라남도,LNG,41691
2018-01-09,전라남도,석탄,30608
2018-01-09,전라북도,LNG,10119
2018-01-09,전라북도,석탄,15916
2018-01-09,전라북도,유류,399
2018-01-09,제주도,유류,7060
2018-01-09,충청남도,LNG,29337
2018-01-09,충청남도,석탄,348763
2018-01-09,충청남도,유류,0
2018-01-09,충청북도,유류,1150
2018-01-10,강원도,LNG,18848
2018-01-10,강원도,석탄,42828
2018-01-10,경기도,LNG,255235
2018-01-10,경기도,석탄,1413
2018-01-10,경기도,유류,16688
2018-01-10,경상남도,석탄,164306
2018-01-10,경상남도,유류,193
2018-01-10,경상북도,LNG,9151
2018-01-10,경상북도,석탄,2554
2018-01-10,광주시,LNG,1542
2018-01-10,대구시,LNG,7302
2018-01-10,대구시,석탄,56
2018-01-10,대구시,유류,572
2018-01-10,대전시,LNG,1054
2018-01-10,대전시,유류,914
2018-01-10,부산시,LNG,32535
2018-01-10,부산시,석탄,162
2018-01-10,서울시,LNG,590
2018-01-10,세종시,LNG,11982
2018-01-10,울산시,LNG,41038
2018-01-10,울산시,유류,23881
2018-01-10,인천시,LNG,75261
2018-01-10,인천시,석탄,113686
2018-01-10,전라남도,LNG,43872
2018-01-10,전라남도,석탄,30805
2018-01-10,전라북도,LNG,10754
2018-01-10,전라북도,석탄,15972
2018-01-10,전라북도,유류,388
2018-01-10,제주도,유류,7535
2018-01-10,충청남도,LNG,30940
2018-01-10,충청남도,석탄,350694
2018-01-10,충청남도,유류,0
2018-01-10,충청북도,유류,1151
2018-01-11,강원도,LNG,20042
2018-01-11,강원도,석탄,52280
2018-01-11,경기도,LNG,259523
2018-01-11,경기도,석탄,1406
2018-01-11,경기도,유류,20134
2018-01-11,경상남도,석탄,164513
2018-01-11,경상남도,유류,209
2018-01-11,경상북도,LNG,9579
2018-01-11,경상북도,석탄,2650
2018-01-11,광주시,LNG,2825
2018-01-11,대구시,LNG,7305
2018-01-11,대구시,석탄,44
2018-01-11,대구시,유류,526
2018-01-11,대전시,LNG,381
2018-01-11,대전시,유류,852
2018-01-11,부산시,LNG,38619
2018-01-11,부산시,석탄,163
2018-01-11,서울시,LNG,534
2018-01-11,세종시,LNG,11959
2018-01-11,울산시,LNG,51608
2018-01-11,울산시,유류,24498
2018-01-11,인천시,LNG,82023
2018-01-11,인천시,석탄,111380
2018-01-11,전라남도,LNG,45051
2018-01-11,전라남도,석탄,31265
2018-01-11,전라북도,LNG,13672
2018-01-11,전라북도,석탄,15861
2018-01-11,전라북도,유류,370
2018-01-11,제주도,유류,8848
2018-01-11,충청남도,LNG,36444
2018-01-11,충청남도,석탄,349816
2018-01-11,충청남도,유류,0
2018-01-11,충청북도,유류,1131
2018-01-12,강원도,LNG,23111
2018-01-12,강원도,석탄,52359
2018-01-12,경기도,LNG,264034
2018-01-12,경기도,석탄,1407
2018-01-12,경기도,유류,19547
2018-01-12,경상남도,석탄,163674
2018-01-12,경상남도,유류,209
2018-01-12,경상북도,LNG,9745
2018-01-12,경상북도,석탄,2675
2018-01-12,광주시,LNG,2832
2018-01-12,대구시,LNG,9273
2018-01-12,대구시,석탄,43
2018-01-12,대구시,유류,527
2018-01-12,대전시,LNG,803
2018-01-12,대전시,유류,890
2018-01-12,부산시,LNG,41773
2018-01-12,부산시,석탄,161
2018-01-12,서울시,LNG,457
2018-01-12,세종시,LNG,11938
2018-01-12,울산시,LNG,51769
2018-01-12,울산시,유류,23912
2018-01-12,인천시,LNG,86564
2018-01-12,인천시,석탄,104992
2018-01-12,전라남도,LNG,45850
2018-01-12,전라남도,석탄,32069
2018-01-12,전라북도,LNG,14761
2018-01-12,전라북도,석탄,15418
2018-01-12,전라북도,유류,365
2018-01-12,제주도,유류,8733
2018-01-12,충청남도,LNG,39925
2018-01-12,충청남도,석탄,350650
2018-01-12,충청남도,유류,0
2018-01-12,충청북도,유류,1127
2018-01-13,강원도,LNG,10442
2018-01-13,강원도,석탄,56525
2018-01-13,경기도,LNG,206653
2018-01-13,경기도,석탄,1239
2018-01-13,경기도,유류,5206
2018-01-13,경상남도,석탄,161775
2018-01-13,경상남도,유류,205
2018-01-13,경상북도,LNG,8427
2018-01-13,경상북도,석탄,2586
2018-01-13,광주시,LNG,2148
2018-01-13,대구시,LNG,7579
2018-01-13,대구시,석탄,49
2018-01-13,대구시,유류,529
2018-01-13,대전시,LNG,774
2018-01-13,대전시,유류,885
2018-01-13,부산시,LNG,35350
2018-01-13,부산시,석탄,41
2018-01-13,서울시,LNG,432
2018-01-13,세종시,LNG,11762
2018-01-13,울산시,LNG,27914
2018-01-13,울산시,유류,23409
2018-01-13,인천시,LNG,61978
2018-01-13,인천시,석탄,96065
2018-01-13,전라남도,LNG,41193
2018-01-13,전라남도,석탄,31287
2018-01-13,전라북도,LNG,10785
2018-01-13,전라북도,석탄,14621
2018-01-13,전라북도,유류,393
2018-01-13,제주도,유류,9266
2018-01-13,충청남도,LNG,5542
2018-01-13,충청남도,석탄,334458
2018-01-13,충청남도,유류,0
2018-01-13,충청북도,유류,1146
2018-01-14,강원도,LNG,7669
2018-01-14,강원도,석탄,62438
2018-01-14,경기도,LNG,160488
2018-01-14,경기도,석탄,1131
2018-01-14,경기도,유류,701
2018-01-14,경상남도,석탄,159015
2018-01-14,경상남도,유류,193
2018-01-14,경상북도,LNG,6523
2018-01-14,경상북도,석탄,2544
2018-01-14,광주시,LNG,1554
2018-01-14,대구시,LNG,7301
2018-01-14,대구시,석탄,9
2018-01-14,대구시,유류,526
2018-01-14,대전시,LNG,231
2018-01-14,대전시,유류,746
2018-01-14,부산시,LNG,15327
2018-01-14,부산시,석탄,0
2018-01-14,서울시,LNG,707
2018-01-14,세종시,LNG,11699
2018-01-14,울산시,LNG,22093
2018-01-14,울산시,유류,1426
2018-01-14,인천시,LNG,50873
2018-01-14,인천시,석탄,95740
2018-01-14,전라남도,LNG,35053
2018-01-14,전라남도,석탄,30106
2018-01-14,전라북도,LNG,5046
2018-01-14,전라북도,석탄,14597
2018-01-14,전라북도,유류,380
2018-01-14,제주도,유류,8665
2018-01-14,충청남도,LNG,7719
2018-01-14,충청남도,석탄,315058
2018-01-14,충청남도,유류,0
2018-01-14,충청북도,유류,1153
2018-01-15,강원도,LNG,13968
2018-01-15,강원도,석탄,72545
2018-01-15,경기도,LNG,210994
2018-01-15,경기도,석탄,1320
2018-01-15,경기도,유류,12080
2018-01-15,경상남도,석탄,161085
2018-01-15,경상남도,유류,207
2018-01-15,경상북도,LNG,7503
2018-01-15,경상북도,석탄,2625
2018-01-15,광주시,LNG,2706
2018-01-15,대구시,LNG,8150
2018-01-15,대구시,석탄,46
2018-01-15,대구시,유류,536
2018-01-15,대전시,LNG,951
2018-01-15,대전시,유류,591
2018-01-15,부산시,LNG,25722
2018-01-15,부산시,석탄,138
2018-01-15,서울시,LNG,682
2018-01-15,세종시,LNG,12140
